,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_name,type,uri,valence
527,0.331,0.804,203591,0.596,0.0,6,0.182,-5.639,0,KnowKnow,0.144,107.225,5,Secret Door,chinese,spotify:track:4BatmDIhgf6IE9dfw4exg6,0.41
528,0.0196,0.705,195692,0.727,0.0,2,0.0929,-4.345,1,KnowKnow,0.056,130.059,4,Bossy,chinese,spotify:track:67yR0ZFJ31JOMULWEtcQPc,0.333
529,0.149,0.778,196441,0.803,0.0,8,0.0994,-4.232,1,KnowKnow,0.341,168.609,4,Role Playing Game,chinese,spotify:track:6An8mXh5HiaWc7qcn10bDs,0.454
530,0.658,0.844,213231,0.505,1.64e-06,5,0.182,-7.949,0,Jony J,0.133,129.919,4,不用去猜,chinese,spotify:track:2G9RfvqkR9SMsUdWzuKuTP,0.637
531,0.494,0.852,205298,0.576,1.27e-05,8,0.0971,-8.518,0,Jony J,0.0419,113.965,4,My Man,chinese,spotify:track:2wGR3wl2eSWtTggYuKNrMQ,0.265
532,0.49,0.779,262958,0.541,0.0,10,0.0744,-7.22,0,Jony J,0.17,140.05,4,喜新戀舊,chinese,spotify:track:07ynC4PH0bQVHWqiWiNyMo,0.529
533,0.06,0.95,187751,0.833,0.0,11,0.0485,-5.494,0,Jony J,0.218,135.011,4,套路,chinese,spotify:track:18DHpDAwU3fIKN80xqMUq0,0.737
534,0.272,0.801,200359,0.665,0.0,10,0.0703,-6.279,1,Jony J,0.0706,95.016,4,想把你留在这里,chinese,spotify:track:7M8IGiUn2M7l5INSN4Bo9O,0.609
535,0.107,0.819,260599,0.432,0.00013,1,0.116,-10.905,1,Jony J,0.146,116.058,4,防火線,chinese,spotify:track:48mDxdW2INY1B0QQcIooSR,0.252
536,0.526,0.757,191001,0.808,0.0,9,0.103,-6.196,0,Jony J,0.24,90.004,4,奴隸,chinese,spotify:track:7gEAhzsajzqhghcIezjCPj,0.542
537,0.0959,0.728,191308,0.722,0.0038,8,0.528,-7.978,0,Jony J,0.038,129.993,4,玩家,chinese,spotify:track:4JsAKjDe2dN0M0Wx1ITe1l,0.565
538,0.346,0.608,265352,0.617,0.000275,2,0.142,-8.369,1,Jony J,0.113,86.037,4,信仰,chinese,spotify:track:3Md0c9rnqiyizVj0hWtXuW,0.186
539,0.134,0.72,220347,0.661,0.0,8,0.214,-5.165,1,Jony J,0.235,84.915,4,連鎖反應,chinese,spotify:track:6QvYQ1tqrJrzomNjtr2pcV,0.557
540,0.0752,0.586,244695,0.814,4e-05,6,0.169,-6.737,0,VaVa,0.204,179.904,4,我的新衣 (feat. Ty. & 王倩倩),chinese,spotify:track:2D2pqz9UjxOsLbucKFAHTV,0.645
541,0.0233,0.66,162030,0.772,0.0,6,0.104,-4.293,0,VaVa,0.0813,163.101,4,New World,chinese,spotify:track:6VuVNvS6HjNRFLSX8yP3YX,0.555
542,0.292,0.753,286957,0.45,0.0,9,0.0969,-11.55,0,VaVa,0.325,91.962,4,Life Is Beautiful,chinese,spotify:track:35iWn3rxX8TvP3HzP5MOOD,0.0984
543,0.252,0.512,230565,0.664,0.0,8,0.276,-9.815,1,VaVa,0.0788,93.567,4,Life's a struggle,chinese,spotify:track:5k0rH5wWg40mlDHBkhhJPv,0.731
544,0.0592,0.78,213570,0.727,0.0,1,0.151,-6.408,0,VaVa,0.0717,138.016,4,讓 (feat. Evis Wy),chinese,spotify:track:6sTQOA5tDjQdnNcFxTF07z,0.738
545,0.0174,0.727,238759,0.705,1.18e-05,7,0.183,-8.539,1,VaVa,0.275,147.954,4,Rap Star,chinese,spotify:track:2kRpuX8yzk7GvIVA8RSWlC,0.167
