,type,name,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
91,bay_area,Dee Cisneros,Misunderstood,spotify:track:4gYjSbiFWoKIZBNcLFKjCG,0.768,0.626,5,-5.246,0,0.12,0.0442,0.0,0.17,0.385,87.012,231934,4
92,bay_area,Dee Cisneros,Loyalty Above All,spotify:track:60sEn2a8aqqnJnFSrf0M2e,0.719,0.708,11,-5.34,1,0.276,0.145,0.0,0.154,0.616,84.995,218673,4
93,bay_area,Dee Cisneros,Strive,spotify:track:2rTJJh41LlbyHRPvisHaKe,0.69,0.795,6,-8.908,0,0.241,0.00963,0.0,0.134,0.53,88.042,229146,4
94,bay_area,Dee Cisneros,Sav It Out Mobb,spotify:track:71CbCgUWOlvxR5q5veuDeB,0.766,0.74,1,-4.171,1,0.0837,0.0216,0.0,0.107,0.615,87.985,242187,4
95,bay_area,Dee Cisneros,Pressure,spotify:track:2xg9GGzkXZlhT5CQv9JJ9c,0.759,0.733,3,-5.961,0,0.203,0.466,0.0,0.288,0.587,95.007,227444,4
96,bay_area,Dee Cisneros,I'm a Real One,spotify:track:1h7dSLe3dbt7nMq0JtEXnE,0.827,0.51,6,-9.414,0,0.4,0.035,0.0,0.065,0.311,89.984,220185,4
97,bay_area,Dee Cisneros,"Northern Cali Connected (feat. Big Tone, Thre4t, Tone Gunz & Sneaks)",spotify:track:14jnWSBEsQ6FeriVWZJkvO,0.713,0.673,4,-6.705,0,0.317,0.0505,0.0,0.0763,0.492,169.976,272829,4
98,bay_area,Dee Cisneros,Real Out Here,spotify:track:5AbeORqFTn9BZl8Mu1apfR,0.821,0.663,9,-5.079,1,0.258,0.209,0.0,0.221,0.593,92.008,211358,4
99,bay_area,Dee Cisneros,Family Sake,spotify:track:2RK92BO2DlFqIsk8k2gKVW,0.443,0.603,10,-8.567,0,0.311,0.482,0.0,0.0965,0.544,127.203,193043,4
100,bay_area,Lil Los,The Way You Feel (Feat. Shadow & Lil Los),spotify:track:1z3ZeJcueOM0aKr3ucQb0k,0.689,0.836,2,-5.734,1,0.267,0.483,0.0,0.266,0.699,164.123,327373,4
101,bay_area,Lil Los,"Blackbird (Feat. Lil Los, Shadow & Lou E Lou)",spotify:track:4iXSdj83QtXs6rk4wEKvdz,0.793,0.629,1,-5.865,1,0.298,0.253,0.0,0.214,0.785,93.918,346347,4
